Date;Price(EUR/Ons)
5.06.2013;743.4833
6.06.2013;745.5000
7.06.2013;743.1967
10.06.2013;729.6700
11.06.2013;723.2733
12.06.2013;722.6700
13.06.2013;717.1267
14.06.2013;713.0567
17.06.2013;713.4100
18.06.2013;705.2767
19.06.2013;703.1500
20.06.2013;685.8367
21.06.2013;674.8733
24.06.2013;677.4167
25.06.2013;672.9733
26.06.2013;662.0900
27.06.2013;657.8867
28.06.2013;649.0833
1.07.2013;668.5700
2.07.2013;679.9933
3.07.2013;676.2500
4.07.2013;669.7467
5.07.2013;665.6500
8.07.2013;671.0600
9.07.2013;678.4533
10.07.2013;686.8267
11.07.2013;690.3933
12.07.2013;688.5233
15.07.2013;694.4733
16.07.2013;693.1467
17.07.2013;691.2733
18.07.2013;689.2400
19.07.2013;693.6400
22.07.2013;701.6067
23.07.2013;698.2600
24.07.2013;705.6467
25.07.2013;700.0533
26.07.2013;698.5000
29.07.2013;698.4900
30.07.2013;698.2567
31.07.2013;697.9567
1.08.2013;698.8433
2.08.2013;688.1967
5.08.2013;696.9767
6.08.2013;690.0567
12.08.2013;715.5733
13.08.2013;716.7200
14.08.2013;713.4733
15.08.2013;717.2033
16.08.2013;727.4000
19.08.2013;726.3667
20.08.2013;719.9000
21.08.2013;721.5067
22.08.2013;729.3367
23.08.2013;733.2000
26.08.2013;732.2100
27.08.2013;746.0067
28.08.2013;742.7833
29.08.2013;743.1033
2.09.2013;741.8333
3.09.2013;745.3033
4.09.2013;742.1967
5.09.2013;733.5700
6.09.2013;731.9833
9.09.2013;733.9967
10.09.2013;722.2867
11.09.2013;720.6067
12.09.2013;708.1767
13.09.2013;693.5600
16.09.2013;694.8000
17.09.2013;695.5400
18.09.2013;684.8167
19.09.2013;703.2533
20.09.2013;696.5167
23.09.2013;684.5300
24.09.2013;681.7400
25.09.2013;684.3767
26.09.2013;687.8667
27.09.2013;679.4700
30.09.2013;685.6633
1.10.2013;678.9033
2.10.2013;665.4800
3.10.2013;664.1367
4.10.2013;664.5700
7.10.2013;667.2467
8.10.2013;675.7333
9.10.2013;673.1733
10.10.2013;666.6033
11.10.2013;662.8267
21.10.2013;677.0767
22.10.2013;672.8300
23.10.2013;676.3900
24.10.2013;677.2300
25.10.2013;676.9233
30.10.2013;687.4833
31.10.2013;687.0367
1.11.2013;688.3800
4.11.2013;686.6533
5.11.2013;687.6033
6.11.2013;691.2000
7.11.2013;690.3633
8.11.2013;691.1833
11.11.2013;681.8400
12.11.2013;680.3300
13.11.2013;677.6567
14.11.2013;682.9133
15.11.2013;680.1900
18.11.2013;675.8333
19.11.2013;667.8500
20.11.2013;665.6667
21.11.2013;661.8233
22.11.2013;655.4433
25.11.2013;649.3700
26.11.2013;654.2633
27.11.2013;650.0533
28.11.2013;642.8667
29.11.2013;644.7667
2.12.2013;643.6867
3.12.2013;635.7567
4.12.2013;636.6333
5.12.2013;642.9967
6.12.2013;637.4967
9.12.2013;634.4467
10.12.2013;641.7400
11.12.2013;644.5867
12.12.2013;639.5433
13.12.2013;632.9733
16.12.2013;630.5667
17.12.2013;633.1933
18.12.2013;632.1967
19.12.2013;622.0667
20.12.2013;620.3333
23.12.2013;620.8133
24.12.2013;619.2300
25.12.2013;619.1633
26.12.2013;619.0733
27.12.2013;626.4600
30.12.2013;625.3233
31.12.2013;624.1267
2.01.2014;639.3300
3.01.2014;648.9967
6.01.2014;651.1933
7.01.2014;652.0267
8.01.2014;650.5467
9.01.2014;651.3233
10.01.2014;655.3500
13.01.2014;658.8333
14.01.2014;657.4400
15.01.2014;654.4467
16.01.2014;654.8600
17.01.2014;661.0333
20.01.2014;674.6467
21.01.2014;671.2567
22.01.2014;666.2133
23.01.2014;664.6833
24.01.2014;663.4867
27.01.2014;662.4300
28.01.2014;657.1667
29.01.2014;654.0300
30.01.2014;654.5133
31.01.2014;652.0667
3.02.2014;654.7567
4.02.2014;653.5867
5.02.2014;655.6200
6.02.2014;655.2867
7.02.2014;653.6233
10.02.2014;654.5967
11.02.2014;655.4567
12.02.2014;660.5233
13.02.2014;660.3067
14.02.2014;670.1200
17.02.2014;673.3433
18.02.2014;673.8133
19.02.2014;668.6300
20.02.2014;668.7433
21.02.2014;671.9300
24.02.2014;673.4033
25.02.2014;675.8467
26.02.2014;678.9433
27.02.2014;681.0700
28.02.2014;677.2933
3.03.2014;682.8167
4.03.2014;679.5433
5.03.2014;684.5433
6.03.2014;687.7900
7.03.2014;684.0933
10.03.2014;677.8800
11.03.2014;685.8300
12.03.2014;681.3300
13.03.2014;684.9733
14.03.2014;687.8800
17.03.2014;689.7000
18.03.2014;676.8067
19.03.2014;678.2967
20.03.2014;673.1867
21.03.2014;675.7667
24.03.2014;669.2167
25.03.2014;667.7400
26.03.2014;665.7600
27.03.2014;659.1500
